ids;subset;naming_set;tablas;ID RULE;Subset;DEFINITION PERIOD
283b6a1f6c;gf_cust_visible_prdt_ind_type is not null;{'gf_goal_product_prftbility_per'};t_kcpg_customer_cust_prod_mp;283b6a1f6c;si gf_cust_visible_prdt_ind_type viene informado;3Q24
27dd45594b;gf_cust_visible_prdt_ind_type is not null and gf_cust_visible_prdt_ind_type != '';{'gf_cust_visible_prdt_ind_type'};t_kcpg_customer_cust_prod;27dd45594b;Si gf_cust_visible_prdt_ind_type no es nulo ni vacío;2Q24
27dd4949e1;gf_cont_status_vldy_type is not null and gf_cont_status_vldy_type != '';{'gf_cont_status_vldy_type'};t_kcpg_customer_cust_prod;27dd4949e1;Si gf_cont_status_vldy_type no es nulo ni vacío;2Q24
27d5f104e1;g_product_current_ind_type is not null and g_product_current_ind_type != '';{'g_product_current_ind_type'};t_kcpg_customer_invest_goals;27d5f104e1;Cuando g_product_current_ind_type sea distinto de NULL y vacío;1Q24
27dd455a09;gf_goal_status_type is not null and gf_goal_status_type != '';{'gf_goal_status_type'};t_kcpg_customer_invest_goals;27dd455a09;Si gf_goal_status_type no es nulo ni vacío;2Q24
280d14bd59;g_rule_activated_ind_type is not null and g_rule_activated_ind_type != '';{'g_rule_activated_ind_type'};t_kcpg_customer_rules;280d14bd59;Distinto de null o vacío;3Q24
280d14be79;g_rl_notif_actvt_ind_type is not null and g_rl_notif_actvt_ind_type != '';{'g_rl_notif_actvt_ind_type'};t_kcpg_customer_rules;280d14be79;Distinto de null o vacío;3Q24
280d14bf9c;g_shr_exp_divn_cust_ind_type is not null and g_shr_exp_divn_cust_ind_type != '';{'g_shr_exp_divn_cust_ind_type'};t_kcpg_customer_rules;280d14bf9c;Distinto de null o vacío;3Q24
GL_DOM_t_kcpg_customer_rules_3.5_004;g_rule_class_id= 02 OR g_rule_class_id= 08;{'g_rule_round_method_name_id'};t_kcpg_customer_rules;GL_DOM_t_kcpg_customer_rules_3.5_004;"Si g_rule_class_id= 02
OR
Si g_rule_class_id= 08";3Q21
27b6311b2a;g_currency_id is not null and g_currency_id != '';{'g_currency_id'};t_kcpg_general_goals;27b6311b2a;Distinto de Null o vacío;1Q24
27fe31c130;g_contract_id is not null and g_contract_id != '';{'g_customer_id'};t_kcpg_general_piggybank;27fe31c130;Si g_contract_id  distinto de null o vacío;2Q24
27fe3236c8;gf_cka_pb_id is not null and gf_cka_pb_id != '';{'gf_cka_pb_amount'};t_kcpg_general_piggybank;27fe3236c8;si gf_cka_pb_id distinto de null o vacío;2Q24
27fe323881;g_cka_pb_fav_type is not null and g_cka_pb_fav_type != '' ;{'g_cka_pb_fav_type'};t_kcpg_general_piggybank;27fe323881;Distinto de Null o vacío;2Q24
27e504ae39;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kcpg_general_piggybank;27e504ae39;Distinto de Null o vacío;2Q24
27e504ae9d;g_currency_id is not null and g_currency_id != '';{'g_currency_id'};t_kcpg_general_piggybank;27e504ae9d;Distinto de Null o vacío;2Q24
27fe32380e;g_cka_pb_status_type is not null and g_cka_pb_status_type != '';{'g_cka_pb_status_type'};t_kcpg_general_piggybank;27fe32380e;Distinto de Null o vacío;2Q24
27fe323978;g_cka_pb_categ_type is not null and g_cka_pb_categ_type != '';{'g_cka_pb_categ_type'};t_kcpg_general_piggybank;27fe323978;Distinto de Null o vacío;2Q24
27fe3240f3;gf_cka_pb_amount is not null;{'gf_cka_pb_start_date'};t_kcpg_general_piggybank;27fe3240f3;Si gf_cka_pb_amount distinto de null;2Q24
27a40482cf;g_prev_hiring_status_ind_type is not null and g_prev_hiring_status_ind_type != '' ;{'g_prev_hiring_status_ind_type'};t_kcpg_invest_goal_answers;27a40482cf;Cuando g_prev_hiring_status_ind_type sea distinto de NULL y vacío;4Q23
2770fd932a;gf_frequency_days_ind_type  is not null and gf_frequency_days_ind_type != '';{'gf_frequency_days_ind_type'};t_kcpg_pfm_cust_date_perst;2770fd932a;Distinto de Null o vacío;3Q23
2770fd932b;gf_frequency_type_id  is not null and gf_frequency_type_id != '';{'gf_frequency_type_id'};t_kcpg_pfm_cust_date_perst;2770fd932b;Distinto de Null o vacío;3Q23
27fe3235af;g_contract_id is not null and g_contract_id != '';{'g_customer_id'};t_kcpg_piggybank_contr;27fe3235af;g_contract_id es distinto de null o vacío;2Q24
27fe32373b;gf_cka_pb_cont_id is not null and gf_cka_pb_cont_id != '';{'gf_cka_pb_cont_amount'};t_kcpg_piggybank_contr;27fe32373b;si gf_cka_pb_cont_id distinto de null o vacío;2Q24
27e504af0a;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kcpg_piggybank_contr;27e504af0a;Distinto de Null o vacío;2Q24
27e504af6d;g_currency_id is not null and g_currency_id != '';{'g_currency_id'};t_kcpg_piggybank_contr;27e504af6d;Distinto de Null o vacío;2Q24
27fe3238fa;g_cka_pb_cont_type is not null and g_cka_pb_cont_type != '';{'g_cka_pb_cont_type'};t_kcpg_piggybank_contr;27fe3238fa;Distinto de Null o vacío;2Q24
280aff689f;gf_cka_pb_cont_amount is not null;{'gf_cka_pb_cont_date'};t_kcpg_piggybank_contr;280aff689f;gf_cka_pb_cont_amount distinto de null;2Q24
27e504afe6;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kcpg_piggybank_rules;27e504afe6;Distinto de Null o vacío;2Q24
GL_DOM_t_kcpg_rules_movements_4.3_001;gf_goal_id is not null and gf_goal_id != '';{'gf_goal_id'};t_kcpg_rules_movements;GL_DOM_t_kcpg_rules_movements_4.3_001;Si gf_goal_id no es nulo ni vacío;1Q23
GL_DOM_t_kcpg_rules_movements_4.3_000;gf_goal_id is not null and gf_goal_id != '';{'gf_goal_id'};t_kcpg_rules_movements;GL_DOM_t_kcpg_rules_movements_4.3_000;Si gf_goal_id no es nulo ni vacío;1Q23
2803fd254d;g_data_source_origin_type is not null and g_data_source_origin_type != '';{'g_data_source_origin_type'};t_kctd_d_c_forms_footprint;2803fd254d;Distinto de null o vacío;2Q24
2803fd25c7;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kctd_d_c_forms_footprint;2803fd25c7;Distinto de null o vacío;2Q24
2803fd263a;g_access_device_type is not null and g_access_device_type != '';{'g_access_device_type'};t_kctd_d_c_forms_footprint;2803fd263a;Distinto de null o vacío;2Q24
2803fd26a4;g_int_conn_type_id is not null and g_int_conn_type_id != '';{'g_int_conn_type_id'};t_kctd_d_c_forms_footprint;2803fd26a4;Distinto de null o vacío;2Q24
28043b469e;g_device_bandwidth_type is not null and g_device_bandwidth_type != '';{'g_device_bandwidth_type'};t_kctd_d_c_forms_footprint;28043b469e;Distinto de null o vacío;2Q24
2803fd272f;g_language_id is not null and g_language_id != '';{'g_language_id'};t_kctd_d_c_forms_footprint;2803fd272f;Distinto de null o vacío;2Q24
2803fd27ac;g_device_location_country_id is not null and g_device_location_country_id != '';{'g_device_location_country_id'};t_kctd_d_c_forms_footprint;2803fd27ac;Distinto de null o vacío;2Q24
2849c9f2fd;gf_int_campaign_disp_ind_type is not null;{'gf_int_campaign_disp_ind_type'};t_kctd_digital_interaction;2849c9f2fd;;3Q24
2849c9f400;gf_int_campaign_click_ind_type is not null;{'gf_int_campaign_click_ind_type'};t_kctd_digital_interaction;2849c9f400;;3Q24
2849d00d5f;gf_product_ars is not null;{'gf_product_ars'};t_kctd_digital_interaction;2849d00d5f;;3Q24
27f75c7953;post_v35_intrnl_campaign_name is not null and post_v35_intrnl_campaign_name != '';{'ad_intrnl_cmpgn_cthru_number'};t_kctd_interaction_activity;27f75c7953;"El campo post_v35_intrnl_campaign_name viene informado
Disinto de null o vacío";2Q24
27f75c7aae;e62_app_page_visits_number > 0;{'adobe_marketing_cloud_id'};t_kctd_interaction_activity;27f75c7aae;e62_app_page_visits_number  > 0 ;2Q24
27f75c839f;e41_app_page_visits_ser_number > 0;{'post_v47_appl_typology_name'};t_kctd_interaction_activity;27f75c839f;Cuando el campo e41_app_page_visits_ser_number es mayor a 0;2Q24
