,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
2703,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/knfa/glgldh360gloqlt/hammurabi/confs/master/knfa/KNFA_vehicles-center_P68X_vehicle-version-catalog_MMRule.conf,t_knfa_vehicles_center,27b923809b,gf_vehicle_version_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/p68x/data/t_p68x_vehicle_version_catalog/'],,gf_vehicle_version_id is not null and gf_vehicle_version_id != '' ,,100,4.3
2740,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/knfa/glgldh360gloqlt/hammurabi/confs/master/knfa/KNFA_vehicles-favourites_P68X_vehicle-version-catalog_MMRule.conf,t_knfa_vehicles_favourites,27b923816c,gf_vehicle_version_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/p68x/data/t_p68x_vehicle_version_catalog/'],,gf_vehicle_version_id is not null and gf_vehicle_version_id != '' ,,100,4.3
2845,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kpan/glgldh360gloqlt/hammurabi/confs/master/kpan/KPAN_mgr-comm-opportunity_KPAN_opportunity_MMRule.conf,t_kpan_mgr_comm_opportunity,2803fd1f36,gf_opportunity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kpan/data/t_kpan_opportunity/'],,gf_opportunity_id is not null and gf_opportunity_id != '',,100,4.3
2864,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kpan/glgldh360gloqlt/hammurabi/confs/master/kpan/KPAN_mobility-partner-oppy_KSAN_contract_global_local_MMRule.conf,t_kpan_mobility_partner_oppy,28ae2ad20b,g_partner_contract_id,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,,['MASTERSCHEMA.t_ksan_contract_global_local'],,,,100,5.2
2894,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kpan/glgldh360gloqlt/hammurabi/confs/master/kpan/KPAN_mobility-partner-oppy_P68X_vehicle-version-catalog_MMRule.conf,t_kpan_mobility_partner_oppy,27dd496eee,gf_vehicle_version_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/p68x/data/t_p68x_vehicle_version_catalog/'],,gf_vehicle_version_id is not null and gf_vehicle_version_id != '',,100,4.3
2895,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kpan/glgldh360gloqlt/hammurabi/confs/master/kpan/KPAN_mobility-partner-oppy_P68X_vehicle-version-catalog_MMRule.conf,t_kpan_mobility_partner_oppy,28b5055acc,gf_gbl_cntr_vehicle_model_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_p68x_vehicle_version_catalog'],,gf_gbl_cntr_vehicle_model_id is not null and gf_gbl_cntr_vehicle_model_id != '',,95,4.3
2919,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kpan/glgldh360gloqlt/hammurabi/confs/master/kpan/KPAN_opportunity_NM7R_lead_MMRule.conf,t_kpan_opportunity,GL_DOM_t_kpan_opportunity_5.2_000,gf_opportunity_start_date,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_lead_start_date,['/data/master/nm7r/data/t_nm7r_lead/'],,,,100,5.2
3206,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kusu/glgldh360gloqlt/hammurabi/confs/master/kusu/KUSU_cust-user-profile-his_KBTQ_role-person_MMRule.conf,t_kusu_cust_user_profile_his,284cf2972f,g_role_person_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kbtq_role_person'],,,,100,4.3
3207,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kusu/glgldh360gloqlt/hammurabi/confs/master/kusu/KUSU_cust-user-profile-his_KUSU_user-his_MMRule.conf,t_kusu_cust_user_profile_his,284cf25db0,g_user_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kusu_user_his'],,,,100,4.3
3218,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kusu/glgldh360gloqlt/hammurabi/confs/master/kusu/KUSU_device-his_KBTQ_role-person_MMRule.conf,t_kusu_device_his,284cf2df81,g_role_person_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kbtq_role_person'],,,,100,4.3
3219,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kusu/glgldh360gloqlt/hammurabi/confs/master/kusu/KUSU_device-his_KBTQ_role-person_MMRule.conf,t_kusu_device_his,28a354738a,g_person_role_type,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kbtq_role_person'],,,,100,4.3
