,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
763,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-dp_KCOG_entity_MMRule.conf,t_katc_attributes_dp,GL_STR_t_katc_attributes_dp_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
782,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-mp_KBTQ_customer-info_MMRule.conf,t_katc_attributes_mp,GL_STR_t_katc_attributes_mp_4.3_002,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kbtq_customer_info'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
783,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-mp_KCOG_country_MMRule.conf,t_katc_attributes_mp,GL_STR_t_katc_attributes_mp_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kcog_country'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
784,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-mp_KCOG_currency_MMRule.conf,t_katc_attributes_mp,GL_STR_t_katc_attributes_mp_4.3_003,g_currency_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kcog_currency'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
785,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-mp_KCOG_entity_MMRule.conf,t_katc_attributes_mp,GL_STR_t_katc_attributes_mp_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kcog_entity'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
820,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_balance-forecast_KBTQ_customer-info_MMRule.conf,t_katc_balance_forecast,GL_STR_t_katc_balance_forecast_4.3_002,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_customer_info/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
821,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_balance-forecast_KCOG_country_MMRule.conf,t_katc_balance_forecast,GL_STR_t_katc_balance_forecast_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
822,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_balance-forecast_KCOG_entity_MMRule.conf,t_katc_balance_forecast,GL_STR_t_katc_balance_forecast_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
823,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_balance-forecast_KSAN_contract-global-local_MMRule.conf,t_katc_balance_forecast,GL_STR_t_katc_balance_forecast_4.3_003,g_contract_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_contract_global_local/'],,,,ACCEPTANCE_MIN_KSAN_00,4.3
855,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_recurrence-forecast_KBTQ_customer-info_MMRule.conf,t_katc_recurrence_forecast,GL_STR_t_katc_recurrence_forecast_4.3_002,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_customer_info/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
856,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_recurrence-forecast_KCOG_country_MMRule.conf,t_katc_recurrence_forecast,GL_STR_t_katc_recurrence_forecast_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
857,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_recurrence-forecast_KCOG_entity_MMRule.conf,t_katc_recurrence_forecast,GL_STR_t_katc_recurrence_forecast_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
858,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_recurrence-forecast_KSAN_contract-global-local_MMRule.conf,t_katc_recurrence_forecast,GL_STR_t_katc_recurrence_forecast_4.3_003,g_contract_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_contract_global_local/'],,,,ACCEPTANCE_MIN_KSAN_00,4.3
894,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_relevant-facts_KBTQ_customer-info_MMRule.conf,t_katc_relevant_facts,GL_STR_t_katc_relevant_facts_4.3_002,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_customer_info/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
895,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_relevant-facts_KCOG_country_MMRule.conf,t_katc_relevant_facts,GL_STR_t_katc_relevant_facts_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
